"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"Micro_USB_Female_Ali";1;"USB_B";;;
2;"D1";"DO-214AC";1;"1N5819-SS14";;;
3;"SW1";"Switch_1P2T_SPDT_Ali";1;"SW_SPDT";;;
4;"R1,R2,R5,R4,R3,R8,R9";"R_0603_HandSoldering";7;"12k";;;
5;"C10,C12,C3,C7,C14";"C_0402";5;"4.7uF";;;
6;"R11,R10,R13";"R_0603_HandSoldering";3;"2K";;;
7;"C15,C1,C6,C9,C11,C13";"C_0402";6;"100nF";;;
8;"C2,C4";"CP_Tantalum_Case-A_EIA-3216-18_Reflow";2;"22uF";;;
9;"C5,C8";"C_0402";2;"4.7Uf";;;
10;"D2";"LED_0603";1;"Power_LED";;;
11;"J1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Conn_01x02";;;
12;"J3";"Pin_Header_Straight_1x16_Pitch2.54mm";1;"RED_conn";;;
13;"J4";"Pin_Header_Straight_1x16_Pitch2.54mm";1;"GREEN_conn";;;
14;"J5";"Pin_Header_Straight_1x16_Pitch2.54mm";1;"BLUE_conn";;;
15;"J20";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"ANODE_conn";;;
16;"Q1,Q2,Q7,Q8,Q9,Q10";"SOT-23_Handsoldering";6;"S8050";;;
17;"Q3,Q4,Q5,Q6";"TO-220-3_Vertical";4;"IRF9540N";;;
18;"R6";"R_0603_HandSoldering";1;"200";;;
19;"R7";"R_0603_HandSoldering";1;"470";;;
20;"R12,R16,R19,R21";"R_0603_HandSoldering";4;"1K";;;
21;"R14,R15,R17,R18,R20";"R_0603_HandSoldering";5;"12K";;;
22;"U1";"ESP-12E";1;"ESP-12E";;;
23;"U2";"QFN-28-1EP_5x5mm_Pitch0.5mm";1;"CP2102";;;
24;"U3,U4,U5";"DIP-28_W7.62mm_Socket";3;"TLC5940NT";;;
25;"U7";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
26;"JP1";"Pin_Header_Straight_1x02_Pitch1.00mm";1;"Jumper";;;
27;"J7";"Measurement_Point_Round-SMD-Pad_Small";1;"TP_V5";;;
28;"J8";"Measurement_Point_Round-SMD-Pad_Small";1;"TP_V3.3";;;
